Date,1,2
1/1/24,Orange,Blue
1/2/24,Orange,Blue
1/3/24,Red,Green
1/4/24,Red,Green
1/5/24,Orange,Blue
1/6/24,Orange,Blue
1/7/24,Orange,Blue
1/8/24,Red,Green
1/9/24,Red,Green
1/10/24,Orange,Blue
1/11/24,Orange,Blue
1/12/24,Red,Green
1/13/24,Red,Green
1/14/24,Red,Green
1/15/24,Orange,Blue
1/16/24,Orange,Blue
1/17/24,Red,Green
1/18/24,Red,Green
1/19/24,Orange,Blue
1/20/24,Orange,Blue
1/21/24,Orange,Blue
1/22/24,Red,Green
1/23/24,Red,Green
1/24/24,Orange,Blue
1/25/24,Orange,Blue
1/26/24,Red,Green
1/27/24,Red,Green
1/28/24,Red,Green
1/29/24,Orange,Blue
1/30/24,Orange,Blue
1/31/24,Red,Green
2/1/24,Red,Green
2/2/24,Orange,Blue
2/3/24,Orange,Blue
2/4/24,Orange,Blue
2/5/24,Red,Green
2/6/24,Red,Green
2/7/24,Orange,Blue
2/8/24,Orange,Blue
2/9/24,Red,Green
2/10/24,Red,Green
2/11/24,Red,Green
2/12/24,Orange,Blue
2/13/24,Orange,Blue
2/14/24,Red,Green
2/15/24,Red,Green
2/16/24,Orange,Blue
2/17/24,Orange,Blue
2/18/24,Orange,Blue
2/19/24,Red,Green
2/20/24,Red,Green
2/21/24,Orange,Blue
2/22/24,Orange,Blue
2/23/24,Red,Green
2/24/24,Red,Green
2/25/24,Red,Green
2/26/24,Orange,Blue
2/27/24,Orange,Blue
2/28/24,Red,Green
2/29/24,Red,Green
3/1/24,Orange,Blue
3/2/24,Orange,Blue
3/3/24,Orange,Blue
3/4/24,Red,Green
3/5/24,Red,Green
3/6/24,Orange,Blue
3/7/24,Orange,Blue
3/8/24,Red,Green
3/9/24,Red,Green
3/10/24,Red,Green
3/11/24,Orange,Blue
3/12/24,Orange,Blue
3/13/24,Red,Green
3/14/24,Red,Green
3/15/24,Orange,Blue
3/16/24,Orange,Blue
3/17/24,Orange,Blue
3/18/24,Red,Green
3/19/24,Red,Green
3/20/24,Orange,Blue
3/21/24,Orange,Blue
3/22/24,Red,Green
3/23/24,Red,Green
3/24/24,Red,Green
3/25/24,Orange,Blue
3/26/24,Orange,Blue
3/27/24,Red,Green
3/28/24,Red,Green
3/29/24,Orange,Blue
3/30/24,Orange,Blue
3/31/24,Orange,Blue
4/1/24,Red,Green
4/2/24,Red,Green
4/3/24,Orange,Blue
4/4/24,Orange,Blue
4/5/24,Red,Green
4/6/24,Red,Green
4/7/24,Red,Green
4/8/24,Orange,Blue
4/9/24,Orange,Blue
4/10/24,Red,Green
4/11/24,Red,Green
4/12/24,Orange,Blue
4/13/24,Orange,Blue
4/14/24,Orange,Blue
4/15/24,Red,Green
4/16/24,Red,Green
4/17/24,Orange,Blue
4/18/24,Orange,Blue
4/19/24,Red,Green
4/20/24,Red,Green
4/21/24,Red,Green
4/22/24,Orange,Blue
4/23/24,Orange,Blue
4/24/24,Red,Green
4/25/24,Red,Green
4/26/24,Orange,Blue
4/27/24,Orange,Blue
4/28/24,Orange,Blue
4/29/24,Red,Green
4/30/24,Red,Green
5/1/24,Orange,Blue
5/2/24,Orange,Blue
5/3/24,Red,Green
5/4/24,Red,Green
5/5/24,Red,Green
5/6/24,Orange,Blue
5/7/24,Orange,Blue
5/8/24,Red,Green
5/9/24,Red,Green
5/10/24,Orange,Blue
5/11/24,Orange,Blue
5/12/24,Orange,Blue
5/13/24,Red,Green
5/14/24,Red,Green
5/15/24,Orange,Blue
5/16/24,Orange,Blue
5/17/24,Red,Green
5/18/24,Red,Green
5/19/24,Red,Green
5/20/24,Orange,Blue
5/21/24,Orange,Blue
5/22/24,Red,Green
5/23/24,Red,Green
5/24/24,Orange,Blue
5/25/24,Orange,Blue
5/26/24,Orange,Blue
5/27/24,Red,Green
5/28/24,Red,Green
5/29/24,Orange,Blue
5/30/24,Orange,Blue
5/31/24,Red,Green
6/1/24,Red,Green
6/2/24,Red,Green
6/3/24,Orange,Blue
6/4/24,Orange,Blue
6/5/24,Red,Green
6/6/24,Red,Green
6/7/24,Orange,Blue
6/8/24,Orange,Blue
6/9/24,Orange,Blue
6/10/24,Red,Green
6/11/24,Red,Green
6/12/24,Orange,Blue
6/13/24,Orange,Blue
6/14/24,Red,Green
6/15/24,Red,Green
6/16/24,Red,Green
6/17/24,Orange,Blue
6/18/24,Orange,Blue
6/19/24,Red,Green
6/20/24,Red,Green
6/21/24,Orange,Blue
6/22/24,Orange,Blue
6/23/24,Orange,Blue
6/24/24,Red,Green
6/25/24,Red,Green
6/26/24,Orange,Blue
6/27/24,Orange,Blue
6/28/24,Red,Green
6/29/24,Red,Green
6/30/24,Red,Green
7/1/24,Orange,Blue
7/2/24,Orange,Blue
7/3/24,Red,Green
7/4/24,Red,Green
7/5/24,Orange,Blue
7/6/24,Orange,Blue
7/7/24,Orange,Blue
7/8/24,Red,Green
7/9/24,Red,Green
7/10/24,Orange,Blue
7/11/24,Orange,Blue
7/12/24,Red,Green
7/13/24,Red,Green
7/14/24,Red,Green
7/15/24,Orange,Blue
7/16/24,Orange,Blue
7/17/24,Red,Green
7/18/24,Red,Green
7/19/24,Orange,Blue
7/20/24,Orange,Blue
7/21/24,Orange,Blue
7/22/24,Red,Green
7/23/24,Red,Green
7/24/24,Orange,Blue
7/25/24,Orange,Blue
7/26/24,Red,Green
7/27/24,Red,Green
7/28/24,Red,Green
7/29/24,Orange,Blue
7/30/24,Orange,Blue
7/31/24,Red,Green
8/1/24,Red,Green
8/2/24,Orange,Blue
8/3/24,Orange,Blue
8/4/24,Orange,Blue
8/5/24,Red,Green
8/6/24,Red,Green
8/7/24,Orange,Blue
8/8/24,Orange,Blue
8/9/24,Red,Green
8/10/24,Red,Green
8/11/24,Red,Green
8/12/24,Orange,Blue
8/13/24,Orange,Blue
8/14/24,Red,Green
8/15/24,Red,Green
8/16/24,Orange,Blue
8/17/24,Orange,Blue
8/18/24,Orange,Blue
8/19/24,Red,Green
8/20/24,Red,Green
8/21/24,Orange,Blue
8/22/24,Orange,Blue
8/23/24,Red,Green
8/24/24,Red,Green
8/25/24,Red,Green
8/26/24,Orange,Blue
8/27/24,Orange,Blue
8/28/24,Red,Green
8/29/24,Red,Green
8/30/24,Orange,Blue
8/31/24,Orange,Blue
9/1/24,Orange,Blue
9/2/24,Red,Green
9/3/24,Red,Green
9/4/24,Orange,Blue
9/5/24,Orange,Blue
9/6/24,Red,Green
9/7/24,Red,Green
9/8/24,Red,Green
9/9/24,Orange,Blue
9/10/24,Orange,Blue
9/11/24,Red,Green
9/12/24,Red,Green
9/13/24,Orange,Blue
9/14/24,Orange,Blue
9/15/24,Orange,Blue
9/16/24,Red,Green
9/17/24,Red,Green
9/18/24,Orange,Blue
9/19/24,Orange,Blue
9/20/24,Red,Green
9/21/24,Red,Green
9/22/24,Red,Green
9/23/24,Orange,Blue
9/24/24,Orange,Blue
9/25/24,Red,Green
9/26/24,Red,Green
9/27/24,Orange,Blue
9/28/24,Orange,Blue
9/29/24,Orange,Blue
9/30/24,Red,Green
10/1/24,Red,Green
10/2/24,Orange,Blue
10/3/24,Orange,Blue
10/4/24,Red,Green
10/5/24,Red,Green
10/6/24,Red,Green
10/7/24,Orange,Blue
10/8/24,Orange,Blue
10/9/24,Red,Green
10/10/24,Red,Green
10/11/24,Orange,Blue
10/12/24,Orange,Blue
10/13/24,Orange,Blue
10/14/24,Red,Green
10/15/24,Red,Green
10/16/24,Orange,Blue
10/17/24,Orange,Blue
10/18/24,Red,Green
10/19/24,Red,Green
10/20/24,Red,Green
10/21/24,Orange,Blue
10/22/24,Orange,Blue
10/23/24,Red,Green
10/24/24,Red,Green
10/25/24,Orange,Blue
10/26/24,Orange,Blue
10/27/24,Orange,Blue
10/28/24,Red,Green
10/29/24,Red,Green
10/30/24,Orange,Blue
10/31/24,Orange,Blue
11/1/24,Red,Green
11/2/24,Red,Green
11/3/24,Red,Green
11/4/24,Orange,Blue
11/5/24,Orange,Blue
11/6/24,Red,Green
11/7/24,Red,Green
11/8/24,Orange,Blue
11/9/24,Orange,Blue
11/10/24,Orange,Blue
11/11/24,Red,Green
11/12/24,Red,Green
11/13/24,Orange,Blue
11/14/24,Orange,Blue
11/15/24,Red,Green
11/16/24,Red,Green
11/17/24,Red,Green
11/18/24,Orange,Blue
11/19/24,Orange,Blue
11/20/24,Red,Green
11/21/24,Red,Green
11/22/24,Orange,Blue
11/23/24,Orange,Blue
11/24/24,Orange,Blue
11/25/24,Red,Green
11/26/24,Red,Green
11/27/24,Orange,Blue
11/28/24,Orange,Blue
11/29/24,Red,Green
11/30/24,Red,Green
12/1/24,Red,Green
12/2/24,Orange,Blue
12/3/24,Orange,Blue
12/4/24,Red,Green
12/5/24,Red,Green
12/6/24,Orange,Blue
12/7/24,Orange,Blue
12/8/24,Orange,Blue
12/9/24,Red,Green
12/10/24,Red,Green
12/11/24,Orange,Blue
12/12/24,Orange,Blue
12/13/24,Red,Green
12/14/24,Red,Green
12/15/24,Red,Green
12/16/24,Orange,Blue
12/17/24,Orange,Blue
12/18/24,Red,Green
12/19/24,Red,Green
12/20/24,Orange,Blue
12/21/24,Orange,Blue
12/22/24,Orange,Blue
12/23/24,Red,Green
12/24/24,Red,Green
12/25/24,Orange,Blue
12/26/24,Orange,Blue
12/27/24,Red,Green
12/28/24,Red,Green
12/29/24,Red,Green
12/30/24,Orange,Blue
12/31/24,Orange,Blue